customer_id,first_name,last_name,email,phone_number,registration_date,customer_segment,preferred_channel,age_group,income_level,avg_order_value,promo_sensitivity,email_opt_in,sms_opt_in,push_opt_in,last_purchase_date,total_lifetime_orders,preferred_category
1,Maria,Cook,mariacook@yahoo.com,-9671,54:28.5,New_Customer,Social,18-25,Low,71.77,0.75,TRUE,TRUE,FALSE,,4,Beauty
2,Jose,West,jose6@outlook.com,-10211,54:31.2,High_Value,Email,55+,High,435.71,0.34,FALSE,TRUE,FALSE,15:32.2,25,Books
3,Christopher,Hale,christopher.hale@outlook.com,-6441,51:01.4,Medium_Value,Social,18-25,Premium,184.04,0.61,FALSE,FALSE,FALSE,13:41.8,36,Electronics
4,Daniel,Klein,danielklein@yahoo.com,-8993,34:01.2,Low_Value,Push,26-35,High,86.76,0.66,FALSE,TRUE,FALSE,16:20.6,8,Sports
5,Allison,Mckenzie,allisonmckenzie@hotmail.com,-9363,31:40.7,Medium_Value,Direct,46-55,Low,77.53,0.47,FALSE,FALSE,FALSE,17:04.5,11,Clothing
6,Kimberly,Miller,kimberly781@hotmail.com,-6904,52:40.9,Medium_Value,Social,46-55,Premium,152.52,0.62,FALSE,TRUE,FALSE,,32,Books
7,Susan,Pollard,susan.pollard@yahoo.com,-3465,08:04.7,High_Value,Email,55+,Medium,179.41,0.25,FALSE,TRUE,TRUE,13:25.8,17,Books
8,Gregory,Hunter,gregory995@hotmail.com,-10343,53:55.0,Low_Value,Social,46-55,Low,36.03,0.65,FALSE,FALSE,FALSE,16:18.8,1,Clothing
9,James,Osborne,jamesosborne@gmail.com,-5627,31:37.5,Medium_Value,Push,55+,Premium,164.4,0.61,TRUE,TRUE,FALSE,14:38.6,33,Beauty
10,Cheryl,Carter,cherylcarter@outlook.com,-10302,14:21.9,Low_Value,SMS,36-45,High,75.26,0.74,FALSE,FALSE,TRUE,14:44.7,7,Clothing
11,Jacob,Wilson,jacobwilson@hotmail.com,-9111,02:17.1,New_Customer,Push,18-25,,134.23,0.68,FALSE,FALSE,FALSE,14:00.1,47,Books
12,Matthew,Hill,matthew660@hotmail.com,-7401,46:30.0,Medium_Value,Direct,55+,Low,138.97,0.42,TRUE,TRUE,FALSE,16:14.5,39,Beauty
13,Angela,Sims,angela.sims@outlook.com,-9161,35:51.9,High_Value,Push,46-55,High,213.76,0.31,FALSE,TRUE,FALSE,15:23.2,31,Clothing
14,Sarah,Willis,sarah.willis@outlook.com,-3954,52:28.9,New_Customer,Social,18-25,Premium,145.89,0.51,FALSE,TRUE,TRUE,16:35.0,49,Electronics
15,Jennifer,Wheeler,jenniferwheeler@outlook.com,-7224,17:36.8,Medium_Value,SMS,55+,Low,116.8,0.45,TRUE,TRUE,FALSE,17:34.6,24,Electronics
16,Roger,Sweeney,roger.sweeney@gmail.com,-10139,50:03.0,High_Value,Email,18-25,Premium,470.64,0.27,FALSE,FALSE,TRUE,17:41.4,33,Beauty
17,James,Clark,james.clark@yahoo.com,-4320,14:38.3,High_Value,Email,36-45,Medium,485.25,0.24,TRUE,TRUE,TRUE,,22,Books
18,Amber,Li,amber.li@outlook.com,-5123,39:03.5,Low_Value,Push,26-35,Low,57.31,0.64,FALSE,TRUE,FALSE,18:25.3,44,Clothing
