customer_key,customer_id,first_name,last_name,email,phone_number,registration_date,customer_segment,preferred_channel,age_group,income_level,source_avg_order_value,promo_sensitivity,email_opt_in,sms_opt_in,push_opt_in,last_purchase_date,source_lifetime_orders,preferred_category
1,1,Maria,Cook,mariacook@yahoo.com,-9671,,New_Customer,Social,18-25,Low,71.77,0.75,True,True,False,,4.0,Beauty
2,2,Jose,West,jose6@outlook.com,-10211,,High_Value,Email,55+,High,435.71,0.34,False,True,False,,25.0,Books
3,3,Christopher,Hale,christopher.hale@outlook.com,-6441,,Medium_Value,Social,18-25,Premium,184.04,0.61,False,False,False,,36.0,Electronics
4,4,Daniel,Klein,danielklein@yahoo.com,-8993,,Low_Value,Push,26-35,High,86.76,0.66,False,True,False,,8.0,Sports
5,5,Allison,Mckenzie,allisonmckenzie@hotmail.com,-9363,,Medium_Value,Direct,46-55,Low,77.53,0.47,False,False,False,,11.0,Clothing
6,6,Kimberly,Miller,kimberly781@hotmail.com,-6904,,Medium_Value,Social,46-55,Premium,152.52,0.62,False,True,False,,32.0,Books
7,7,Susan,Pollard,susan.pollard@yahoo.com,-3465,,High_Value,Email,55+,Medium,179.41,0.25,False,True,True,,17.0,Books
8,8,Gregory,Hunter,gregory995@hotmail.com,-10343,,Low_Value,Social,46-55,Low,36.03,0.65,False,False,False,,1.0,Clothing
9,9,James,Osborne,jamesosborne@gmail.com,-5627,,Medium_Value,Push,55+,Premium,164.4,0.61,True,True,False,,33.0,Beauty
10,10,Cheryl,Carter,cherylcarter@outlook.com,-10302,,Low_Value,SMS,36-45,High,75.26,0.74,False,False,True,,7.0,Clothing
11,11,Jacob,Wilson,jacobwilson@hotmail.com,-9111,,New_Customer,Push,18-25,Unknown,134.23,0.68,False,False,False,,47.0,Books
12,12,Matthew,Hill,matthew660@hotmail.com,-7401,,Medium_Value,Direct,55+,Low,138.97,0.42,True,True,False,,39.0,Beauty
13,13,Angela,Sims,angela.sims@outlook.com,-9161,,High_Value,Push,46-55,High,213.76,0.31,False,True,False,,31.0,Clothing
14,14,Sarah,Willis,sarah.willis@outlook.com,-3954,,New_Customer,Social,18-25,Premium,145.89,0.51,False,True,True,,49.0,Electronics
15,15,Jennifer,Wheeler,jenniferwheeler@outlook.com,-7224,,Medium_Value,SMS,55+,Low,116.8,0.45,True,True,False,,24.0,Electronics
16,16,Roger,Sweeney,roger.sweeney@gmail.com,-10139,,High_Value,Email,18-25,Premium,470.64,0.27,False,False,True,,33.0,Beauty
17,17,James,Clark,james.clark@yahoo.com,-4320,,High_Value,Email,36-45,Medium,485.25,0.24,True,True,True,,22.0,Books
18,18,Amber,Li,amber.li@outlook.com,-5123,,Low_Value,Push,26-35,Low,57.31,0.64,False,True,False,,44.0,Clothing
19,19,Fred,Hendricks,fred118@outlook.com,-3186,,High_Value,Email,55+,Low,485.67,0.3,False,True,False,,8.0,Books
20,20,Ashley,King,ashley.king@outlook.com,-5375,,Medium_Value,Push,18-25,Unknown,116.08,0.62,True,True,True,,1.0,Home
21,21,Mark,Terry,markterry@hotmail.com,-2883,,High_Value,Email,55+,High,202.59,0.38,True,False,True,,26.0,Clothing
22,22,Amy,Silva,amy662@outlook.com,-3872,,High_Value,SMS,26-35,Premium,276.19,0.32,False,False,False,,20.0,Beauty
23,23,Carmen,Jenkins,carmen962@hotmail.com,-10419,,Low_Value,Social,46-55,Premium,51.06,0.76,False,False,False,,8.0,Electronics
24,24,Jeremy,Martinez,jeremymartinez@gmail.com,-6098,,New_Customer,Email,18-25,Unknown,96.59,0.54,False,True,False,,49.0,Sports
25,25,Justin,Ward,justin293@gmail.com,-3188,,New_Customer,Direct,36-45,High,49.72,0.55,False,False,True,,26.0,Books
26,26,Megan,Harris,meganharris@yahoo.com,-10940,,Low_Value,Push,18-25,High,26.96,0.65,True,False,True,,32.0,Beauty
27,27,Charles,Herman,charles.herman@yahoo.com,-7851,,Medium_Value,SMS,Unknown,Low,75.91,0.46,True,False,False,,12.0,Home
28,28,Scott,Olsen,scott861@outlook.com,-4841,,Low_Value,Email,36-45,Premium,56.46,0.7,False,True,False,,45.0,Electronics
29,29,Diane,Brown,dianebrown@yahoo.com,-8018,,New_Customer,Push,55+,Low,96.11,0.75,False,False,False,,11.0,Home
30,30,Jennifer,Gallagher,jennifer915@yahoo.com,-9778,,New_Customer,Email,36-45,Low,31.0,0.64,True,True,True,,19.0,Beauty
31,31,Nina,Williams,nina663@gmail.com,-10556,,Medium_Value,Direct,18-25,Medium,157.63,0.63,True,False,False,,34.0,Clothing
32,32,Carlos,Miller,carlos564@outlook.com,-4537,,High_Value,Direct,46-55,Low,265.41,0.27,False,True,True,,46.0,Electronics
33,33,David,Johnson,david.johnson@yahoo.com,-3784,,Medium_Value,Email,36-45,Medium,143.1,0.49,False,True,True,,20.0,Home
34,34,Cynthia,Lucas,cynthia.lucas@gmail.com,-8861,,New_Customer,SMS,26-35,Medium,96.94,0.75,True,True,False,,20.0,Books
35,35,Suzanne,Reynolds,suzanne275@yahoo.com,-9796,,Low_Value,SMS,55+,Premium,35.84,0.72,True,True,True,,12.0,Electronics
36,36,Charles,Holland,charles.holland@gmail.com,-5095,,High_Value,Push,18-25,Premium,270.13,0.28,True,False,True,,9.0,Home
37,37,Kelly,Garcia,kellygarcia@yahoo.com,-9123,,Medium_Value,Direct,36-45,Premium,189.18,0.51,True,True,False,,43.0,Electronics
38,38,Mary,Miller,mary307@hotmail.com,-9695,,New_Customer,SMS,36-45,Low,81.32,0.77,False,False,True,,0.0,Clothing
39,39,Amanda,Nguyen,amandanguyen@yahoo.com,-6422,,High_Value,Push,18-25,Low,371.07,0.26,False,True,True,,50.0,Beauty
40,40,Elizabeth,Thompson,elizabeth974@hotmail.com,-2992,,High_Value,Direct,36-45,Unknown,455.07,0.21,True,True,True,,25.0,Electronics
41,41,James,Johnson,james795@yahoo.com,-7680,,Medium_Value,Push,55+,Premium,85.81,0.7,False,True,False,,12.0,Home
42,42,Paul,Parsons,paul65@yahoo.com,-7627,,High_Value,Social,26-35,Medium,238.32,0.24,False,False,False,,9.0,Electronics
43,43,Ian,Arellano,ian497@hotmail.com,-9363,,Medium_Value,Direct,26-35,Medium,193.97,0.48,True,True,True,,13.0,Beauty
44,44,Richard,Wiley,richard.wiley@hotmail.com,-7516,,Low_Value,Direct,36-45,High,28.95,0.83,False,False,True,,24.0,Home
45,45,Douglas,Collins,douglas.collins@hotmail.com,-8855,,Medium_Value,Push,18-25,High,175.11,0.49,False,False,False,,42.0,Books
46,46,Debra,Fields,debrafields@yahoo.com,-7653,,Low_Value,Social,26-35,High,41.13,0.86,False,False,True,,37.0,Books
47,47,Jason,Butler,jason404@yahoo.com,-10940,,New_Customer,Push,18-25,Medium,104.0,0.78,False,False,True,,29.0,Beauty
48,48,Roger,Mendoza,roger88@hotmail.com,-8573,,Low_Value,Email,18-25,Premium,38.26,0.63,True,True,False,,28.0,Beauty
49,49,Michelle,Castillo,michelle986@yahoo.com,-6093,,New_Customer,Social,26-35,Medium,40.7,0.57,True,False,True,,30.0,Sports
50,50,Tracy,Davis,tracy242@hotmail.com,-8476,,Medium_Value,SMS,46-55,Medium,190.45,0.49,True,False,False,,7.0,Electronics
51,51,Elizabeth,Watson,elizabethwatson@gmail.com,-5454,,Medium_Value,Direct,55+,Medium,146.4,0.68,False,True,True,,32.0,Clothing
52,52,Hannah,Wilson,hannah.wilson@gmail.com,-3634,,Low_Value,SMS,26-35,Medium,65.55,0.85,True,False,True,,15.0,Sports
