customer_id,first_name,last_name,email,phone_number,registration_date,customer_segment,preferred_channel,age_group,income_level,source_avg_order_value,promo_sensitivity,email_opt_in,sms_opt_in,push_opt_in,last_purchase_date,total_lifetime_orders,preferred_category,total_orders,paid_orders,cancelled_orders,total_revenue,avg_order_value_actual,first_order_date,last_order_date,promo_orders,non_promo_orders,promo_revenue,non_promo_revenue,preferred_product_category,customer_recency_days,lifecycle_segment,invalid_phone_flag,missing_last_purchase_flag,invalid_registration_date_flag
1,Maria,Cook,mariacook@yahoo.com,-9671,,New_Customer,Social,18-25,Low,71.77,0.75,True,True,False,,4,Beauty,9,9,0,736.08,81.78666666666666,2024-08-01,2025-07-01,4,5,402.18,333.9,Clothing,352.0,Dormant,True,True,True
2,Jose,West,jose6@outlook.com,-10211,,High_Value,Email,55+,High,435.71,0.34,False,True,False,,25,Books,8,8,0,3260.34,407.5425,2024-09-20,2025-05-04,0,8,0.0,3260.34,Clothing,410.0,Dormant,True,False,True
3,Christopher,Hale,christopher.hale@outlook.com,-6441,,Medium_Value,Social,18-25,Premium,184.04,0.61,False,False,False,,36,Electronics,5,4,1,980.14,245.035,2024-10-20,2025-04-14,2,2,610.36,369.78,Beauty,430.0,Dormant,True,False,True
4,Daniel,Klein,danielklein@yahoo.com,-8993,,Low_Value,Push,26-35,High,86.76,0.66,False,True,False,,8,Sports,6,6,0,543.7,90.61666666666666,2024-08-10,2025-07-01,2,4,234.3,309.4,Books,352.0,Dormant,True,False,True
5,Allison,Mckenzie,allisonmckenzie@hotmail.com,-9363,,Medium_Value,Direct,46-55,Low,77.53,0.47,False,False,False,,11,Clothing,6,6,0,437.04,72.84,2024-07-24,2025-05-09,0,6,0.0,437.04,Books,405.0,Dormant,True,False,True
6,Kimberly,Miller,kimberly781@hotmail.com,-6904,,Medium_Value,Social,46-55,Premium,152.52,0.62,False,True,False,,32,Books,4,3,1,540.03,180.01,2025-03-09,2025-04-23,1,2,252.11,287.92,Books,421.0,Dormant,True,True,True
7,Susan,Pollard,susan.pollard@yahoo.com,-3465,,High_Value,Email,55+,Medium,179.41,0.25,False,True,True,,17,Books,12,10,2,1981.08,198.108,2024-08-09,2025-04-06,0,10,0.0,1981.08,Books,438.0,Dormant,True,False,True
8,Gregory,Hunter,gregory995@hotmail.com,-10343,,Low_Value,Social,46-55,Low,36.03,0.65,False,False,False,,1,Clothing,5,5,0,191.33,38.266,2024-09-20,2025-07-03,1,4,48.08,143.25,Electronics,350.0,Dormant,True,False,True
9,James,Osborne,jamesosborne@gmail.com,-5627,,Medium_Value,Push,55+,Premium,164.4,0.61,True,True,False,,33,Beauty,6,6,0,1002.91,167.15166666666667,2024-12-22,2025-06-15,0,6,0.0,1002.91,Sports,368.0,Dormant,True,False,True
10,Cheryl,Carter,cherylcarter@outlook.com,-10302,,Low_Value,SMS,36-45,High,75.26,0.74,False,False,True,,7,Clothing,5,5,0,487.87,97.574,2024-10-20,2025-06-18,3,2,352.39,135.48,Clothing,365.0,Dormant,True,False,True
11,Jacob,Wilson,jacobwilson@hotmail.com,-9111,,New_Customer,Push,18-25,Unknown,134.23,0.68,False,False,False,,47,Books,6,5,1,701.19,140.238,2024-08-07,2025-05-27,1,4,183.18,518.01,Books,387.0,Dormant,True,False,True
12,Matthew,Hill,matthew660@hotmail.com,-7401,,Medium_Value,Direct,55+,Low,138.97,0.42,True,True,False,,39,Beauty,8,6,2,898.78,149.79666666666665,2024-08-17,2025-05-21,0,6,0.0,898.78,Home,393.0,Dormant,True,False,True
13,Angela,Sims,angela.sims@outlook.com,-9161,,High_Value,Push,46-55,High,213.76,0.31,False,True,False,,31,Clothing,8,4,4,892.95,223.2375,2024-09-23,2025-06-17,0,4,0.0,892.95,Home,366.0,Dormant,True,False,True
14,Sarah,Willis,sarah.willis@outlook.com,-3954,,New_Customer,Social,18-25,Premium,145.89,0.51,False,True,True,,49,Electronics,4,4,0,709.99,177.4975,2024-08-08,2025-02-28,1,3,252.73,457.26,Home,475.0,Dormant,True,False,True
15,Jennifer,Wheeler,jenniferwheeler@outlook.com,-7224,,Medium_Value,SMS,55+,Low,116.8,0.45,True,True,False,,24,Electronics,7,7,0,858.96,122.70857142857143,2024-07-28,2025-06-10,1,6,174.92,684.04,Sports,373.0,Dormant,True,False,True
16,Roger,Sweeney,roger.sweeney@gmail.com,-10139,,High_Value,Email,18-25,Premium,470.64,0.27,False,False,True,,33,Beauty,11,11,0,4929.55,448.1409090909091,2024-09-19,2025-05-25,0,11,0.0,4929.55,Sports,389.0,Dormant,True,False,True
17,James,Clark,james.clark@yahoo.com,-4320,,High_Value,Email,36-45,Medium,485.25,0.24,True,True,True,,22,Books,4,3,1,1596.98,532.3266666666667,2024-09-30,2025-06-05,0,3,0.0,1596.98,Books,378.0,Dormant,True,True,True
18,Amber,Li,amber.li@outlook.com,-5123,,Low_Value,Push,26-35,Low,57.31,0.64,False,True,False,,44,Clothing,9,9,0,639.36,71.04,2024-07-09,2025-04-04,5,4,408.33,231.03,Home,440.0,Dormant,True,False,True
19,Fred,Hendricks,fred118@outlook.com,-3186,,High_Value,Email,55+,Low,485.67,0.3,False,True,False,,8,Books,5,3,2,1709.53,569.8433333333334,2024-07-23,2025-01-20,0,3,0.0,1709.53,Home,514.0,Dormant,True,False,True
20,Ashley,King,ashley.king@outlook.com,-5375,,Medium_Value,Push,18-25,Unknown,116.08,0.62,True,True,True,,1,Home,12,11,1,1451.97,131.99727272727273,2024-08-05,2025-07-06,2,9,359.18,1092.79,Books,347.0,Dormant,True,False,True
21,Mark,Terry,markterry@hotmail.com,-2883,,High_Value,Email,55+,High,202.59,0.38,True,False,True,,26,Clothing,7,5,2,1060.12,212.024,2025-02-20,2025-06-04,1,4,264.53,795.59,Books,379.0,Dormant,True,False,True
22,Amy,Silva,amy662@outlook.com,-3872,,High_Value,SMS,26-35,Premium,276.19,0.32,False,False,False,,20,Beauty,6,4,2,1021.38,255.345,2024-07-05,2025-05-07,0,4,0.0,1021.38,Books,407.0,Dormant,True,False,True
23,Carmen,Jenkins,carmen962@hotmail.com,-10419,,Low_Value,Social,46-55,Premium,51.06,0.76,False,False,False,,8,Electronics,5,5,0,260.65,52.13,2024-07-06,2025-06-12,1,4,83.38,177.27,Books,371.0,Dormant,True,False,True
24,Jeremy,Martinez,jeremymartinez@gmail.com,-6098,,New_Customer,Email,18-25,Unknown,96.59,0.54,False,True,False,,49,Sports,10,8,2,844.5,105.5625,2024-07-26,2025-05-23,1,7,134.56,709.94,Sports,391.0,Dormant,True,True,True
25,Justin,Ward,justin293@gmail.com,-3188,,New_Customer,Direct,36-45,High,49.72,0.55,False,False,True,,26,Books,8,7,1,378.71,54.10142857142857,2024-07-15,2025-03-11,0,7,0.0,378.71,Electronics,464.0,Dormant,True,False,True
26,Megan,Harris,meganharris@yahoo.com,-10940,,Low_Value,Push,18-25,High,26.96,0.65,True,False,True,,32,Beauty,7,5,2,144.13,28.826,2024-07-19,2025-05-27,1,4,45.13,99.0,Books,387.0,Dormant,True,False,True
27,Charles,Herman,charles.herman@yahoo.com,-7851,,Medium_Value,SMS,Unknown,Low,75.91,0.46,True,False,False,,12,Home,16,14,2,1097.0,78.35714285714286,2024-07-24,2025-05-30,1,13,95.34,1001.66,Home,384.0,Dormant,True,False,True
28,Scott,Olsen,scott861@outlook.com,-4841,,Low_Value,Email,36-45,Premium,56.46,0.7,False,True,False,,45,Electronics,11,11,0,663.9,60.35454545454545,2024-07-30,2025-05-27,1,10,95.3,568.6,Electronics,387.0,Dormant,True,False,True
29,Diane,Brown,dianebrown@yahoo.com,-8018,,New_Customer,Push,55+,Low,96.11,0.75,False,False,False,,11,Home,9,8,1,816.17,102.02125,2024-07-19,2025-07-01,2,6,253.65,562.52,Sports,352.0,Dormant,True,False,True
30,Jennifer,Gallagher,jennifer915@yahoo.com,-9778,,New_Customer,Email,36-45,Low,31.0,0.64,True,True,True,,19,Beauty,14,11,3,394.23,35.839090909090906,2024-07-23,2025-06-17,1,10,42.76,351.47,Clothing,366.0,Dormant,True,False,True
31,Nina,Williams,nina663@gmail.com,-10556,,Medium_Value,Direct,18-25,Medium,157.63,0.63,True,False,False,,34,Clothing,9,8,1,1387.15,173.39375,2024-07-20,2025-06-22,1,7,269.72,1117.43,Electronics,361.0,Dormant,True,True,True
32,Carlos,Miller,carlos564@outlook.com,-4537,,High_Value,Direct,46-55,Low,265.41,0.27,False,True,True,,46,Electronics,7,5,2,1577.18,315.436,2024-12-07,2025-07-03,1,4,388.8,1188.38,Sports,350.0,Dormant,True,False,True
33,David,Johnson,david.johnson@yahoo.com,-3784,,Medium_Value,Email,36-45,Medium,143.1,0.49,False,True,True,,20,Home,10,9,1,1521.89,169.0988888888889,2024-07-05,2025-05-25,3,6,675.98,845.91,Sports,389.0,Dormant,True,False,True
34,Cynthia,Lucas,cynthia.lucas@gmail.com,-8861,,New_Customer,SMS,26-35,Medium,96.94,0.75,True,True,False,,20,Books,10,9,1,950.44,105.60444444444444,2024-09-09,2025-06-08,3,6,395.21,555.23,Sports,375.0,Dormant,True,False,True
35,Suzanne,Reynolds,suzanne275@yahoo.com,-9796,,Low_Value,SMS,55+,Premium,35.84,0.72,True,True,True,,12,Electronics,8,6,2,192.91,32.151666666666664,2024-11-08,2025-06-12,0,6,0.0,192.91,Clothing,371.0,Dormant,True,False,True
36,Charles,Holland,charles.holland@gmail.com,-5095,,High_Value,Push,18-25,Premium,270.13,0.28,True,False,True,,9,Home,10,9,1,2320.19,257.7988888888889,2024-08-02,2025-06-09,2,7,644.35,1675.84,Electronics,374.0,Dormant,True,False,True
37,Kelly,Garcia,kellygarcia@yahoo.com,-9123,,Medium_Value,Direct,36-45,Premium,189.18,0.51,True,True,False,,43,Electronics,6,4,2,692.27,173.0675,2024-09-05,2024-12-22,0,4,0.0,692.27,Beauty,543.0,Dormant,True,False,True
38,Mary,Miller,mary307@hotmail.com,-9695,,New_Customer,SMS,36-45,Low,81.32,0.77,False,False,True,,0,Clothing,8,7,1,601.13,85.87571428571428,2024-08-19,2025-03-23,1,6,130.71,470.42,Clothing,452.0,Dormant,True,False,True
39,Amanda,Nguyen,amandanguyen@yahoo.com,-6422,,High_Value,Push,18-25,Low,371.07,0.26,False,True,True,,50,Beauty,8,7,1,2678.41,382.63,2024-07-19,2025-02-11,0,7,0.0,2678.41,Beauty,492.0,Dormant,True,False,True
40,Elizabeth,Thompson,elizabeth974@hotmail.com,-2992,,High_Value,Direct,36-45,Unknown,455.07,0.21,True,True,True,,25,Electronics,5,3,2,1429.35,476.45,2025-03-06,2025-05-16,0,3,0.0,1429.35,Beauty,398.0,Dormant,True,False,True
41,James,Johnson,james795@yahoo.com,-7680,,Medium_Value,Push,55+,Premium,85.81,0.7,False,True,False,,12,Home,5,5,0,414.55,82.91,2024-09-14,2025-06-16,0,5,0.0,414.55,Beauty,367.0,Dormant,True,True,True
42,Paul,Parsons,paul65@yahoo.com,-7627,,High_Value,Social,26-35,Medium,238.32,0.24,False,False,False,,9,Electronics,5,3,2,702.75,234.25,2024-09-08,2025-05-15,0,3,0.0,702.75,Clothing,399.0,Dormant,True,False,True
43,Ian,Arellano,ian497@hotmail.com,-9363,,Medium_Value,Direct,26-35,Medium,193.97,0.48,True,True,True,,13,Beauty,11,11,0,2528.29,229.84454545454545,2024-08-05,2025-06-20,3,8,861.81,1666.48,Sports,363.0,Dormant,True,False,True
44,Richard,Wiley,richard.wiley@hotmail.com,-7516,,Low_Value,Direct,36-45,High,28.95,0.83,False,False,True,,24,Home,8,7,1,218.85,31.264285714285716,2025-01-16,2025-06-19,1,6,35.66,183.19,Electronics,364.0,Dormant,True,True,True
